Date;GDP
01/01/2008;14706,54
01/04/2008;14865,70
01/07/2008;14899,00
01/10/2008;14608,21
01/01/2009;14430,90
01/04/2009;14381,24
01/07/2009;14448,88
01/10/2009;14651,25
01/01/2010;14764,61
01/04/2010;14980,19
01/07/2010;15141,61
01/10/2010;15309,47
01/01/2011;15351,44
01/04/2011;15557,54
01/07/2011;15647,68
01/10/2011;15842,27
01/01/2012;16068,82
01/04/2012;16207,13
01/07/2012;16319,54
01/10/2012;16420,39
01/01/2013;16629,05
01/04/2013;16699,55
01/07/2013;16911,07
01/10/2013;17133,11
01/01/2014;17144,28
01/04/2014;17462,70
01/07/2014;17743,23
01/10/2014;17852,54
01/01/2015;17991,35
01/04/2015;18193,71
01/07/2015;18306,96
01/10/2015;18332,08
01/01/2016;18425,31
01/04/2016;18611,62
01/07/2016;18775,46
01/10/2016;18968,04
01/01/2017;19153,91
