Date;CSUSHPINSA
01/01/2008;171,079
01/02/2008;169,194
01/03/2008;167,906
01/04/2008;167,324
01/05/2008;167,021
01/06/2008;166,537
01/07/2008;165,714
01/08/2008;164,278
01/09/2008;161,913
01/10/2008;159,163
01/11/2008;156,071
01/12/2008;152,544
01/01/2009;149,361
01/02/2009;147,616
01/03/2009;146,513
01/04/2009;146,942
01/05/2009;148,169
01/06/2009;149,796
01/07/2009;150,747
01/08/2009;150,667
01/09/2009;149,626
01/10/2009;148,583
01/11/2009;147,938
01/12/2009;146,665
01/01/2010;145,003
01/02/2010;143,055
01/03/2010;143,596
01/04/2010;145,400
01/05/2010;147,035
01/06/2010;147,701
01/07/2010;147,561
01/08/2010;146,426
01/09/2010;144,607
01/10/2010;143,127
01/11/2010;141,819
01/12/2010;140,632
01/01/2011;139,043
01/02/2011;137,740
01/03/2011;137,791
01/04/2011;139,160
01/05/2011;140,691
01/06/2011;141,943
01/07/2011;142,340
01/08/2011;141,784
01/09/2011;140,168
01/10/2011;138,411
01/11/2011;136,667
01/12/2011;135,168
01/01/2012;134,166
01/02/2012;133,993
01/03/2012;135,862
01/04/2012;138,473
01/05/2012;141,051
01/06/2012;143,170
01/07/2012;144,281
01/08/2012;144,703
01/09/2012;144,356
01/10/2012;143,967
01/11/2012;143,961
01/12/2012;143,869
01/01/2013;144,312
01/02/2013;145,162
01/03/2013;147,961
01/04/2013;150,969
01/05/2013;153,861
01/06/2013;156,432
01/07/2013;158,294
01/08/2013;159,403
01/09/2013;159,680
01/10/2013;159,559
01/11/2013;159,364
01/12/2013;159,281
01/01/2014;159,372
01/02/2014;159,878
01/03/2014;161,194
01/04/2014;162,973
01/05/2014;164,687
01/06/2014;166,215
01/07/2014;167,139
01/08/2014;167,453
01/09/2014;167,244
01/10/2014;166,913
01/11/2014;166,661
01/12/2014;166,465
01/01/2015;166,257
01/02/2015;166,642
01/03/2015;168,099
01/04/2015;169,977
01/05/2015;171,856
01/06/2015;173,456
01/07/2015;174,502
01/08/2015;174,946
01/09/2015;175,055
01/10/2015;175,063
01/11/2015;175,158
01/12/2015;175,134
01/01/2016;175,054
01/02/2016;175,298
01/03/2016;176,617
01/04/2016;178,509
01/05/2016;180,355
01/06/2016;181,927
01/07/2016;183,030
01/08/2016;183,668
01/09/2016;183,959
01/10/2016;184,036
01/11/2016;184,250
01/12/2016;184,422
01/01/2017;184,676
