Date;Open Price
01/01/2008;1447,16
01/02/2008;1381,72
01/03/2008;1329,68
01/04/2008;1340,94
01/05/2008;1384,23
01/06/2008;1395,74
01/07/2008;1266,79
01/08/2008;1270,52
01/09/2008;1298,33
01/10/2008;1154,70
01/11/2008;968,24
01/12/2008;870,24
01/01/2009;904,61
01/02/2009;815,11
01/03/2009;719,75
01/04/2009;785,01
01/05/2009;873,00
01/06/2009;932,42
01/07/2009;925,03
01/08/2009;998,22
01/09/2009;1015,88
01/10/2009;1052,80
01/11/2009;1040,80
01/12/2009;1098,89
01/01/2010;1116,56
01/02/2010;1073,89
01/03/2010;1105,36
01/04/2010;1171,23
01/05/2010;1188,58
01/06/2010;1087,30
01/07/2010;1031,10
01/08/2010;1107,53
01/09/2010;1049,72
01/10/2010;1143,49
01/11/2010;1185,71
01/12/2010;1186,60
01/01/2011;1257,62
01/02/2011;1289,14
01/03/2011;1328,64
01/04/2011;1329,48
01/05/2011;1365,21
01/06/2011;1345,20
01/07/2011;1320,64
01/08/2011;1292,59
01/09/2011;1219,12
01/10/2011;1131,21
01/11/2011;1251,00
01/12/2011;1246,91
01/01/2012;1258,86
01/02/2012;1312,45
01/03/2012;1365,90
01/04/2012;1408,47
01/05/2012;1397,86
01/06/2012;1309,87
01/07/2012;1362,33
01/08/2012;1379,32
01/09/2012;1406,54
01/10/2012;1440,90
01/11/2012;1410,99
01/12/2012;1416,34
01/01/2013;1426,19
01/02/2013;1498,11
01/03/2013;1514,68
01/04/2013;1569,18
01/05/2013;1597,55
01/06/2013;1631,71
01/07/2013;1609,78
01/08/2013;1689,42
01/09/2013;1635,95
01/10/2013;1682,41
01/11/2013;1758,70
01/12/2013;1806,55
01/01/2014;1845,86
01/02/2014;1782,68
01/03/2014;1857,68
01/04/2014;1873,96
01/05/2014;1884,39
01/06/2014;1923,87
01/07/2014;1962,29
01/08/2014;1929,80
01/09/2014;2004,07
01/10/2014;1971,44
01/11/2014;2018,21
01/12/2014;2065,78
01/01/2015;2058,90
01/02/2015;1996,67
01/03/2015;2105,23
01/04/2015;2067,63
01/05/2015;2087,38
01/06/2015;2108,64
01/07/2015;2067,00
01/08/2015;2104,49
01/09/2015;1970,09
01/10/2015;1919,65
01/11/2015;2080,76
01/12/2015;2082,93
01/01/2016;2038,20
01/02/2016;1936,94
01/03/2016;1937,09
01/04/2016;2056,62
01/05/2016;2067,17
01/06/2016;2093,94
01/07/2016;2099,34
01/08/2016;2173,15
01/09/2016;2171,33
01/10/2016;2164,33
01/11/2016;2128,68
01/12/2016;2200,17
