President-Elect Victory Speech,04 Nov 2008,ll dream alive time still power democracy tonight answer answer told around nation never seen people three four many first time time must different could difference answer spoken young old rich poor democrat republican black white native gay straight disabled disabled sent message world never collection collection red blue always united answer led told long many cynical fearful doubtful achieve put arc history bend toward hope better day long time coming tonight day election moment change come little bit evening received extraordinarily gracious call senator senator fought long hard campaign fought even longer harder country us begin imagine better service brave selfless leader congratulate congratulate governor look forward working renew nation promise ahead want thank partner journey man heart spoke men grew streets rode train home vice president elect united joe would standing tonight without unyielding support best friend last rock family love life nation next first lady love imagine new puppy coming us white house longer us know grandmother watching along family made miss tonight know debt beyond measure sister maya sister alma thank much support given grateful campaign manager unsung hero campaign built best best political campaign think history united chief strategist partner every step way best campaign team ever history politics made happen forever grateful get done never forget victory truly never candidate office start much money many campaign living concord front built working men dug little give cause grew strength young people myth generation apathy left little pay less sleep drew strength young people bitter cold scorching heat knock perfect millions organized proved two later government people people people perished earth victory know win election know understand enormity task ahead even celebrate tonight know tomorrow bring lifetime two planet peril worst financial crisis century even stand tonight know brave waking risk us lie awake fall asleep wonder make mortgage pay save enough child college education new energy harness new new build meet repair road ahead long climb steep may get one year even one term never hopeful tonight get promise people get false many agree every decision policy make president know government solve every problem always honest face listen especially disagree ask join work nation way done block block brick brick hand hand ago winter end autumn night victory alone change seek chance us make change happen go back way happen without without new spirit service new spirit sacrifice let us summon new spirit patriotism responsibility us pitch work harder look let us remember financial crisis taught us anything thriving wall street main street country rise fall one nation one people let resist temptation fall back partisanship pettiness immaturity politics long let remember man state first carried banner republican party white house party self reliance individual liberty national unity share democratic party great victory tonight measure humility determination heal back progress said nation far divided though passion may strained must break affection whose support yet earn may vote tonight hear need help president watching tonight beyond around forgotten world singular destiny new dawn leadership hand would tear world defeat seek peace security support beacon still bright tonight proved true strength nation comes might arms scale wealth enduring power democracy liberty opportunity unyielding hope true genius change union perfected already us hope must achieve tomorrow election many many told one mind tonight woman cast ballot lot like millions stood line make voice election except one thing ann born generation past slavery time road sky someone like vote two woman color skin tonight think seen throughout century heartache hope struggle progress times told people creed yes time silenced lived see stand speak reach ballot yes despair dust bowl depression across land saw nation conquer fear new new sense common purpose yes fell harbor witness generation rise greatness democracy saved yes preacher told people shall overcome yes man touched moon world connected science imagination year election touched finger screen cast vote best times change yes come far seen much much tonight let us ask live see next century lucky live long ann cooper change see progress made chance answer call moment time put people back work open opportunity restore prosperity promote cause peace reclaim dream reaffirm fundamental truth many one breathe hope met cynicism doubt tell us respond timeless creed spirit people yes book e hill second inaugural democratic national convention keynote address archive class style display block width height data client pub d
First President-Elect Press Conference,07 Nov 2008,irectly audio morning woke sobering news state economy lost consecutive month economy shed total lost nearly million year million unemployed millions struggling figure pay stay urgent reminder facing economic challenge lifetime going act resolve united one government one president time next year government current administration spoken president bush appreciate commitment economic policy team us fully informed unfold also thankful invitation white house immediately become president going confront economic crisis head taking necessary ease credit crisis help restore growth prosperity morning met standing behind alongside vice president elect joe help guide work transition team working chief staff strong set respond crisis meeting several immediate facing economy key focus days ahead first need rescue plan middle class immediate create provide relief watching shrink life disappear particularly urgent priority extension unemployment insurance find work increasingly weak economy fiscal stimulus plan jump start economic growth long overdue throughout last campaign get done second address spreading impact financial crisis economy small struggling meet finance holiday state municipal facing devastating budget tax must also remember financial crisis increasingly global global response news coming auto industry week us hardship hardship goes far beyond individual auto countless small throughout nation depend vibrant auto industry auto industry backbone critical part attempt reduce dependence foreign oil would like see administration everything accelerate assistance congress already addition made high priority transition team work additional policy help auto industry adjust weather financial crisis succeed fuel efficient united glad today obviously great knowledge great interest issue team explore current law whether additional legislation purpose third review implementation administration financial program ensure government central goal financial protecting helping unduly rewarding management financial government assistance absolutely critical treasury work closely hud government use substantial authority already help avoid foreclosure stay finally monitor address immediate economic moving forward laying set grow middle class strengthen economy long term afford wait moving forward key campaign clean energy health care education tax relief middle class transition team working ahead intend reconvene advisory board discuss best immediate let close saying underestimate enormity task ahead taken major action date need action transition subsequent make going difficult said repeat going quick going easy us dig hole strong resilient country know succeed put aside partisanship politics work together one nation intend book e hill creative co
Global Climate Summit Prerecorded Speech,18 Nov 2008,g world urgent climate change science beyond dispute clear sea rising shrinking we  seen record drought spreading famine growing passing hurricane season climate change dependence foreign oil left unaddressed continue weaken economy threaten national security know many working confront challenge particular want commend governor governor governor governor host governor shown true leadership fight combat global warming we  also seen number part clean energy often show kind leadership change take office presidency mark new chapter  s leadership climate change strengthen security create millions new process start federal cap trade system establish strong annual set us course reduce reduce additional invest billion year catalyze private sector build clean energy future invest solar power wind power next generation tap nuclear power making sure it  s safe develop clean coal investment help us reduce dependence foreign oil making united secure help us bring clean energy future saving planet also help us transform steer country economic crisis generating five million new green pay well can  t truth united meet challenge alone problem require us working together understand meeting government dozen canada brazil chile look forward working meet challenge coming let also say special word around world gather next month work vital planet won  t president time meeting united one president time i  congress conference report back learn take office sure united engage vigorously help lead world toward new era global climate change time confront challenge delay longer option denial longer acceptable response high serious stopping climate change won  t easy won  t happen overnight promise president governor who  s willing promote clean energy partner white house company that  s willing invest clean energy ally nation that  s willing join cause climat
Economic Team Announcement Speech,24 Nov 2008,ed text version directly audio news past week morning  s news made even clear facing economic crisis historic financial stress new home half century recently half million jobless highest act boldly believe could lose millions next year can  t underestimate face also can  t underestimate capacity overcome summon spirit determination optimism always defined us move forward new direction create new reform financial system fuel long term economic growth know won  t easy won  t happen overnight we  need bring together best guide us i  sought economic team i  sought could offer sound judgment fresh thinking depth experience wealth bold new share fundamental belief thriving wall street without thriving main street country rise fall one nation one people today vice president elect announce nomination four meet criteria lead economic team director national economic council chair council economic director domestic domestic policy senior treasury extensive experience shaping economic policy financial also unparalleled understanding current economic crisis depth complexity urgency waste time getting speed start first day job unique insight today  s clear vision must take revive reality economic crisis face longer crisis it  s global crisis need reach around world craft global response  s extensive international experience uniquely work growing partly lived worked throughout undersecretary treasury international one many international arena studied language today  s international ways one distinction long history working comfortably honest broker sides aisle stellar outstanding every stage career confidence respect business financial community congress political around world know  s next treasury secretary chief economic spokesman administration like larry also singular combination skill intellect experience role play administration undersecretary deputy secretary secretary treasury larry guide us several major international financial crises central architect led economic expansion history record rising family million new also range tax enhanced consumer financial greatly middle income thought leader larry us confront income inequality middle class squeeze consistently key strong economy strong vibrant growing middle class idea core economic philosophy foundation economic one great economic time larry global reputation able cut heart complex novel policy respect current financial crisis pressing economic time thinking writing speaking set debate i  m glad side critical role administration  s economic policy white house rely heavily advice navigate uncharted economic crisis one expert people economic crises solve next nominee bring critically perspective work chair council economic leading leading leading economic historian perhaps best known work  s recovery great depression robust economic expansion since she  s director national bureau economic research monetary economics program she  s also member bureau  s business cycle dating committee body officially whether recession ended experience serve well current economic done research many administration confront tax policy fighting clear eyed independent analyses received praise conservative liberal alike look forward wise counsel white house finally know economy require action great variety education health care energy social security without sound neither enjoy sustained economic growth realize full potential people extraordinarily melody one policy serve director domestic domestic policy council working hand hand economic policy team chart course economic recovery integral part course health care reform work closely secretary health human issue executive vice president policy center melody directed network policy finding struggling middle class also chief counsel great senator ted state senate judiciary committee working ranging crime immigration bankruptcy fighting tirelessly protect civil  s religious freedom melody  s brilliant legal mind long experience working secure nation well secure who  left behind make perfect fit director grateful larry melody accepted nomination looking forward working closely ahead work today truth minute waste right economy trapped vicious cycle turmoil wall street new round belt main street produce less consume less financial extraordinary financial system require extraordinary policy administration honor public made current administration address crisis beyond immediate may take need recovery plan wall street main street plan financial system credit flowing time growing foreclosure crisis helping struggling auto industry saving million infrastructure clean energy infrastructure century moment need restore confidence restore confidence middle class find working harder earning less falling behind i  economic team develop plan consult congress current administration federal reserve immediate economic next two i  brief daily basis coming provide people incoming congress overview initial hope new congress begin work aggressive economic recovery plan convene early administration hit ground running economy distress hesitate delay can  t afford keep waiting solution can  t afford watch another month unpaid pile another semester tuition slip reach another month instead saving retirement they  re dipping get want repeat easy quick crisis many making economy likely get worse better full recovery happen immediately make need we  scour federal budget line line make meaningful well something i  hopeful future full confidence wisdom ingenuity economic team hard work courage sacrifice people believe deeply resilience spirit nation know work way crisis we  done know succeed put aside partisanship politics work together that  s exactly intend president united book
Economic Recovery Advisory Board Announcement,26 Nov 2008, crisis historic moment nation history old ways thinking old ways acting seek fresh thinking bold new leading across chart course economic recovery must ensure government government accountable today announce formation new institution help economic team accomplish president economic recovery advisory board board president foreign intelligence advisory board president provide rigorous analysis vigorous oversight intelligence community outside government would candid unsparing assessment new board perform similar function administration formulate economic policy board composed distinguished diverse outside government business labor bring bear wisdom formulation implementation evaluation administration economic recovery plan board report regularly vice president elect economic team seek jump start economic growth create raise wages address housing crisis stabilize financial let speak think necessary reality sometimes become little bit ingrown little bit insular echo chamber sometimes keep fresh new ways thinking start engaging serve always ground level sense working people board provide fresh perspective administration infusion across country economy input informed first hand daily announce board one world foremost economic policy former chairman federal reserve one side throughout campaign providing deep understanding financial extensive experience economic crises keen insight global nature particular crisis highest esteem sound independent judgment fairly opinionated long distinguished record service nation call serve also happy announce another one key economic agreed serve staff director chief economist economic recovery advisory board act primary liaison board administration also plan nominate serve one three council economic one promising economic known path breaking work tax policy industrial organization one economic shaped thinking economic stalwart advisor since ran united senate look forward close collaboration white house plan announce economic advisory economic recovery advisory board coming look forward urgent work rebuild economy restore prosperity across last point make board announce particular future want clear going designed make sure everybody across board whether high tech old new economy labor innovative may always subscribe conventional wisdom challenge make sure old thing time think better people help lead advisory board book e hill text audio video public domain image fair use client pub width height format type text
Security Team Announcement Speech,01 Dec 2008,morning everybody hope wonderful thanksgiving last week working speak craft economic recovery program create grow struggling economy today vice president elect announce national security team national security face grave urgent economic crisis fighting two old remain unresolved newly assertive put international system spread nuclear peril world  s could fall dangerous dependence foreign oil authoritarian planet must also strong home strong abroad need provide education opportunity every compete anyone anywhere economic power must sustain military strength diplomatic leverage global leadership common thread linking fundamental reality century destiny world security public health climate must act understanding ever stake across globe learned painfully terror safety provided alone last week threat took six among nearly world seek place kill innocent advance hateful extremism weekend told stand people dark time confident great democracy resilient would tear uncertain world time come new beginning new dawn leadership overcome century seize strengthen capacity defeat support renew old forge new enduring show world relentless defense people steady advancing shine beacon world democracy justice opportunity unyielding hope  s export world succeed must pursue new strategy skillfully power military diplomacy intelligence law enforcement economy power moral example team today uniquely past service future men represent power best example uniform worked law enforcement share pragmatism use power sense purpose role leader world known friend colleague source counsel campaign opponent extraordinary intelligence remarkable work ethic next secretary state tremendous stature complete confidence many world command respect every clearly ability advance around world  s appointment sign friend foe seriousness commitment renew diplomacy restore much spread nuclear north seeking lasting peace strengthening international doubt right person lead state department work tackling ambitious foreign policy agenda time face unprecedented transition amidst two continue secretary defense accepted two ago took pentagon difficult time accountability confidence military trust brave men uniform well respect congress sides aisle pragmatism competence need sustainable national security strategy bipartisan consensus home said throughout campaign giving secretary military new mission soon take office responsibly ending war successful transition control also ensure strategy succeed al bob said long ago war terror must end going forward continue make necessary strengthen military increase ground defeat century talent commitment succeed attorney general first day job even important transition vigilance distinguished prosecutor judge senior official deeply familiar law enforcement face terrorism counter intelligence white collar crime public corruption eric also combination toughness independence need justice department let clear attorney general people every expectation eric protect people uphold public trust adhere constitution experience executive need next secretary homeland security spent career protecting people us attorney attorney general governor need department homeland security capacity help prevent terrorist respond catastrophe natural critical role learned painful last several competence accountability firsthand need partner works well state local well anyone danger unsecure border leader reform sprawling department homeland take crucial task serving permanent representative united united close advisor previous un ambassador serve member cabinet integral member team background scholar national security council assistant secretary state serve nation well united global face demand global work belief un indispensable imperfect forum carry message commitment multilateral action must coupled commitment reform need united effective venue collective action terror proliferation climate change genocide poverty disease finally convinced uniquely strong skilled national security advisor heroically battlefield world war ridge part legacy bring job dual experience serving uniform diplomat platoon battle supreme allied commander time war worked behalf peace middle east today future connection energy national security worked global instability  northern advise work effectively integrate across government effectively power defeat unconventional promote confident team need make new beginning national security morning met discuss situation face ahead coming close contact working bush administration make sure ready hit ground running given range face vulnerability part every presidential transition hope proceed national security demand confirmation move forward humility comes knowing brave men protecting us front intelligence dangerous world serving second third fourth field beat cargo selfless whose unknown us form backbone effort serve well serving protect country promote move forward respect tradition bipartisan national security policy commitment national unity recall comes keeping nation people safe monopoly power wisdom either party together one nation one people shape times instead shaped together meet century fear hope book e hill change text creative commons license client pub slot wi
Commerce Secretary Announcement,03 Dec 2008,e another key member team nominee secretary commerce great friend governor passing day work team begun revive economy becomes urgent week learned u economy recession since output year low two stark magnitude face know economy won  t easy won  t happen overnight also know right somewhere small business work next big idea scientist cusp next big breakthrough discovery entrepreneur sketching revolutionize industry right across world rolling assembly determined productive world job already second shift day many longer ever nearly two traveling across country meeting visiting large small confident ever everything need renew economy got ingenuity technology skill commitment need put work it  s time address immediate economic start laying groundwork long term prosperity help grow thrive home expand promote enterprise around world work core mission secretary commerce breadth depth experience public life governor uniquely role leading economic diplomat time state government congress tour two duty cabinet bill seen every angle economy work working better governor new bill government act partner support helping create new leadership new saw unemployment rate former secretary energy bill must take build new clean energy industry create green twenty first century pay well won  t help us end dependence foreign oil former ambassador united bill international stature deep understanding today  s global economy success today  s business often whether sell like shanghai  s reputation world critical security prosperity world respect  s leadership likely buy  s crucial work  s international standing bill bring leadership style bill never content learn briefing never satisfied official version story time congress two town hall could hear directly regular u n cafeteria u n lunch campaign record governor actually broke world record shaking nearly eight got check statistic determination reach understand people coming hope help approach believe key bill  s success negotiator key work critical commerce department census climate protecting intellectual property economic diplomacy end bill leader must measured progress way good instead losing growing instead shrinking know bill unyielding advocate business home around world look forward working ahead book e hill text audi
Remarks After Meeting with Economic Team,05 Jan 2009,c team message meeting today one comes surprise difficult spot economy bad situation getting worse last week learned hit year low going get final report year every indication lost time since world war clear act act address crisis break momentum recession next could dramatically worse message speaker morning meeting harry bipartisan leadership group afternoon important message today situation getting worse got act boldly got act delay said web address past republican problem democratic problem stage problem going chip hard work people expect us last economic crisis grown two million lost last year substantial number fact economist council economic addition million lost got million full time work part time work start counting people situation dire hit year low across millions struggling rising growing home foreclosure deepening sense unease last met team continue work recovery reinvestment plan would create short term also spur economic growth lay foundation sustained competitiveness global economy long term today meeting learned substantial progress made plan beginning share plan leadership hill rolling people assuring clarity transparency entire process one team one congressional leadership emphasize today act boldly sufficient magnitude make difference also got new way going sufficient us fall back old ways simply throw money problem need demand vigorous oversight need strict accountability recovery reinvestment plan people right know every dime money spent going built plan everybody done order address crisis also group today financial system still precarious seen credit recover way would see recover despite treasury fed many unprecedented taken part team task shape next phase economic recovery transparent consistent public understand exactly working accomplished consequence extraordinary taken finally today tough going make restore fiscal responsibility economy deficit start brought said right important task us stabilize patient economy badly sick take whatever make sure also recognize going grow economy long term going create better future fiscally irresponsible deep continue next several shape recovery reinvestment package alongside concrete serious long term fiscal discipline something also people well leadership hill looking forward meeting afternoon expectation share sense urgency going move quickly going get lot old style politics either side going lot finger pointing people need action intend provide president united let take couple start thank fast plan need move passage moving boldly concerned sacrificing transparency full examination process also mind could also talk extent tax cut part plan political getting well let take second question first least following campaign last two need middle class tax notion wanting include relief working plan somehow political ploy centerpiece economic plan last two make much sense bad situation happy convergence campaign economy right put money ordinary insecure see rising area like health care struggling make meet know think important balanced recovery reinvestment package part going making sure got money part provide start equipment ultimately part going job growth future whether health whether energy assure economic competitiveness long term separate piece far first question confident accomplish unprecedented transparency even move package forward congress know exactly bill exploring example like web site detailed information taking place kind impact expect job growth hope generate consequence discrete forward good afternoon sir extent violence middle east distracted team economic plan deadline stimulus still slipped well said strongly believe president president elect team able one thing time obviously international deep concern situation getting every day consistent current administration taking place continue continue insist comes foreign particularly important adhere principle one president time delicate taking place right two coming united much stake respect timetable economic recovery reinvestment plan going work month know waiting reason today going present latest congress expect begin week process know expect sign bill create million people shortly get well look many days legislative process going take time even expedited schedule get bill desk anticipate end first week gotten 
George Mason University Speech,08 Jan 2009,ied text version directly audio let begin mason university extraordinary hospitality thank great attendance today throughout history simply rolled next without much notice fanfare come along generation kind mark clean break past set new course nation one start midst crisis unlike seen lifetime crisis last nearly two million lost likely learn lost last year time since world war past year another million want need full time work settle part time hit year low many borrow make payroll many pay mortgage many watching life disappear many many anxious uncertain future hold believe late change course take dramatic action soon possible nothing done recession could linger unemployment rate could reach double economy could fall trillion short full capacity lost income family four could lose generation potential promise young forced forego college chance train future nation could lose competitive edge foundation strength standing world short bad situation could become dramatically worse crisis happen solely accident history normal turn business cycle get simply waiting better day come worn past point due era profound irresponsibility corporate board power c many wall street made imprudent dangerous seeking little regard risk little regulatory scrutiny little accountability made without concern whether could repay took advantage cheap credit take debt afford spent taxpayer money without wisdom discipline often scoring political instead sent solve result devastating loss trust confidence economy financial government fact crisis largely making beyond ability solve rooted past capacity future greatness take time perhaps many rebuild lost trust confidence restore opportunity prosperity never forget still productive earth still envy world still home brilliant creative advanced technology innovation history ever known still nation overcome great improbable odds act urgency seriousness moment know quickly work economic team recovery reinvestment plan immediately jump start job creation long term growth plan new policy whole new approach meeting urgent hope end crisis must end culture anything goes create change must begin time trade old new spirit responsibility time finally change ways set new better course doubt cost plan considerable certainly add budget deficit short term equally certain little nothing lead even greater deficit confidence economy true depend government alone create long term growth particular moment government provide short term boost necessary lift us recession deep severe government break cycle crippling economy lack spending lost even less spending inability lend borrow growth even less credit need act boldly act reverse need put money people create new invest future need restart flow credit restore road ensure crisis like never plan plan must begin today plan confident save create least three million next another public works program plan paradox promise moment fact millions trying find work even around country much work done invest like energy education health care new infrastructure necessary keep us strong competitive century overwhelming majority private sector plan save public sector police provide vital finally spark creation clean energy economy double production alternative energy next three modernize percent federal improve energy efficiency million saving energy process put work new pay well building solar wind turbines fuel efficient new energy lead even cleaner planet bargain improve quality health care lowering cost make immediate necessary ensure within five medical cut waste eliminate red tape reduce need repeat expensive medical save save reducing deadly preventable medical pervade health care system give chance live world never competitive equip community public century provide new new technology new training boston compete high tech high wage future build economy lead future begin rebuild yes put people work backlog well worthy infrastructure also global economy way get electricity starting build new smart grid save us money protect power blackout attack deliver clean alternative energy every corner nation expanding across small business rural town connect compete anywhere world science research technology lead new medical new entire new finally recovery reinvestment plan provide immediate relief bearing brunt recession get people spending working receive thousand dollar tax cut first stage middle class tax cut campaign include next budget help lost find new continue bipartisan extension unemployment insurance health care coverage help crisis government every level tighten belt help struggling avoid harmful budget long take responsibility use money maintain essential like police fire education health care understand might skeptical plan government already spent good deal money yet seen translate higher confidence economy recovery reinvestment plan throw money invest works true test pursue whether democratic republican whether conservative liberal whether create grow economy put dream within reach people instead money behind veil secrecy invest made transparently informed independent wherever possible every able hold accountable going see taxpayer spent yesterday launch unprecedented effort eliminate unwise unnecessary spending never unaffordable nation future right make tough smart today economy start coming solid recovery people confidence getting fiscal house order goal create slew new government foundation long term economic growth also economic recovery plan free pet understand every member congress spend money many worthy benefit local emergency legislation must vehicle must time put urgent needs nation narrow recovery plan alone solve led us crisis must also work sense urgency stabilize repair financial system depend full arsenal get credit flowing confidence sweeping effort address foreclosure crisis keep responsible catastrophic failure financial whose collapse could endanger entire economy maximum clear understanding government support company extraordinary action must come significant receive support weak outdated regulatory system better withstand financial better protect reckless greed risk taking must never endanger prosperity longer allow wall street slip regulatory longer allow special put economic scales longer allow unscrupulous borrowing destructive bubble bust time set new course economy change must begin open honest discussion recovery plan days ahead urge congress move quickly possible behalf people every day wait point drag lose lose deferred nation sink crisis point may able reverse country know future accept president united world strength economy watching waiting lead come easy happen overnight altogether likely may get worse get better reason congress act without delay know scale plan unprecedented severity situation already tried wait see approach approach lead us day reckoning time come build century economy hard work responsibility congress work team day night necessary get plan next calling put put good ahead old ideological sense common purpose narrow partisanship insist first question us good good country inherit program policy spirit enable us confront spirit led previous face war depression fear able summon spirit able look one another listen one another part nation posterity doubt look back one marked another new hopeful beginning united thank god bless may god bless book e hill image audio source u copyright status image audio creative commons license cli
Intelligence Community Leadership Team,09 Jan 2009,thenticity certified text version directly audio discuss today  s announcement i  d like say latest received morning spoke need pass recovery reinvestment plan job creation invest future lay foundation long term economic growth morning received stark reminder urgently action lost across nearly major economy lost nearly million lost last year amount single worst year job loss since world war unemployment rate well percent addition million people want full time work able get part time work clearly situation dire urgent immediate action staff engaged constructive dialogue congress last days recovery reinvestment plan save create million make long term critical like energy health care education made good progress look forward working closely congress shape legislation work people let clear today  s job report need us move sense urgency common purpose behind every one millions lost counting us struggle pay stay deferred current economic climate devastating economic crisis become difficult contain time sake economy people moment act act without delay i  d like say today  s past vice president elect working national security we  re ready hit ground running today i  m complete team lead intelligence community hard overstate importance good intelligence century much intelligence community one threat soviet union today face world unconventional spread stateless terrorist mass destruction grave rogue learned distance ocean ability deter enemy margin error keep people safe must seamlessly collect analyze share act information sense urgency selfless countless skillful management good intelligence luxury necessity men intelligence community front world new saved advanced respect grateful nation sound many built last several also learned tough learned make pragmatic policy must insist grounded solely seek information suit ideological agenda support carry intelligence mission must give need clear guidance deserve know truly secure must adhere vigilantly protect safety confident blair right advance work intelligence community public unquestioned integrity broad experience strong management core pragmatism need dangerous times together form team uniquely qualified continue good work done making need stay ahead nimble sustain trust people admiral blair seen diverse intelligence many different several uniform learned firsthand necessity good intelligence men uniform commander u pacific deep understanding critical importance carried major offensive violent former staffer first associate director central intelligence military support uniquely qualified bridge build among national security leader manager intelligence community full support information gathering foreign information need even it  s always information want someone handled intelligence sailor sea strategic thinker authority ensure intelligence act unity effort purpose admiral blair  s experience exceptionally choice director one public time country since put uniform united army congressman director white house chief staff unparalleled experience making government work better people handled intelligence daily highest time sound judgment grace fire complete integrity let clear agency director complete trust substantial clout strong manager strong advocate focus proven track record building consensus working bipartisan basis congress confident strengthen  s protect people adapt reform intelligence community also rely talent several distinguished public substantial intelligence experience current continue offer counsel foreign intelligence advisory board hub prevent root terrorist continue benefit leadership i  m announce close advisor veteran former leader national counter terrorism center homeland security advisor deputy national security advisor serving rank assistant president experience vision integrity advance  s security intelligence community huge growing successful sustainable national security strategy made clear need deploy balance power military diplomacy homeland security economic might moral suasion good intelligence work necessary support right men working around world bear burden may never know always honor always honor sacrifice task team guide support integrate protect security safeguard us uphold would like give admiral blair opportunity say president elect thank opportunity carry responsibility mission national security absolutely clear timely accurate relevant intelligence keep nation safe make informed national security policy honor lead u intelligence stated well president people always know men serve patriotism dedication without public recognition outstanding public group perform fully capably according law uphold articulated people right expect made clear sir best hearing different respectful debate intelligence support straightforward manner tell well know know know deeply appreciate opportunity lead intelligence confirmed senate look forward joining national security team president elect said remarkable top level executive branch congress combine leadership wisdom business count could ask better leader central intelligence agency one key within intelligence community skill background skill team agency superb welcome counsel support together seek serve president thank president elect honor opportunity server great country throughout public life honor privilege serving nation number recent wife established institute whose mission inspire young people public service surely less particularly time national security believe important respond call duty like many brave done work tirelessly defend nation provide president elect accurate objective intelligence need lead nation time great peril also time great opportunity central intelligence agency rich history reference serve bravely around world many dangerous away often cover sometimes fire front line defense dangerous time deserve complete confidence support strong intelligence strong team look forward working admiral blair well many talented men intelligence community look forward working administration particularly involved national security commit consulting closely former congress form kind partnership need win war terror inscription wall old headquarters building scripture ye shall know truth truth shall make free confirmed president elect lead men seek speak truth help preserve nation freedom book e hill change public domain audio client pub slot wi
