tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row href,tablescraper-selected-row 3,tablescraper-selected-row href 2,tablescraper-selected-row 4,tablescraper-selected-row href 3,tablescraper-selected-row 5,tablescraper-selected-row href 4,tablescraper-selected-row 28
Main Links,Home Page,https://www.americanrhetoric.com/index.htm,Speech Bank,https://www.americanrhetoric.com/speechbank.htm,Top 100 Speeches,https://www.americanrhetoric.com/newtop100speeches.htm,Great New Speeches,https://www.americanrhetoric.com/21stcenturyspeeches.htm,DELIVERY DATE
Federal Plaza Address Opposing the War in Iraq,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamairaqwarspeechfederalplaza.htm,,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamafederalplaza.mp3,,,,,02 Oct 2002
Democratic National Convention Keynote Speech,mp3,https://www.americanrhetoric.com/speeches/convention2004/barackobama2004dnc.htm,PDF,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobama2004dncARXE.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%202004%20DNC%20Address.pdf,,,27 Jul 2004
Senate Speech on Ohio Electoral Vote,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamasenatespeechonohioelectoralvotes.htm,PDF,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamasenatespeechohiovotecounting.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Senate%20Speech%20on%20Ohio%20Electoral%20Vote.pdf,,,06 Jan 2005
Knox College Commencement Speech,mp3,https://www.americanrhetoric.com/speeches/barackobamaknoxcollege.htm,PDF,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamaknoxcommencement.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Knox%20College%20Commencement.pdf,,,04 Jun 2005
Senate Speech Honoring the Life of Rosa Parks,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamasenatespeechrosaparks.htm,PDF,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamasenatespeechrosaparks.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Rosa%20Parks.pdf,,,25 Oct 2005
Senate Speech on the PATRIOT Act,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamasenatefloorspeechpatriotact.htm,PDF,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamasenatefloorspeechpatriotactARXE.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Senate%20Floor%20Speech%20on%20the%20Patriot%20Act.pdf,,,15 Dec 2005
"Senate Speech Honoring the Life of 
		Coretta Scott King,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamasenatespeechoncorettascottkingpassing.htm,PDF,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamasenatespeechcorettascottking.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Senate%20Floor%20Coretta%20King.pdf,,,31 Jan 2006"
"Senate Speech on 
		Voting Rights Act Renewal,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamasenatespeechonvotingrightsactrenewal.htm,PDF,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamasenatespeechvotingrightsactARXE.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Senate%20Floor%20Speech%20on%20Voting%20Rights%20Act%20Renewal.pdf,,,20 Jul 2006"
Presidential Exploratory Committee Announcement,mp3,https://www.americanrhetoric.com/speeches/barackobamaexploratory.htm,PDF,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamaexploratorycommittee.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Candidate%20Exploratory%20Announcement.pdf,,,16 Jan 2007
Presidential Candidacy Announcement,mp3,https://www.americanrhetoric.com/speeches/barackobamacandidacyforpresident.htm,PDF,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamacandidacyannouncement.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Announces%20Candidacy.pdf,,,10 Feb 2007
Brown Chapel Speech,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamabrownchapel.htm,,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamabrownchapel.mp3,,,,,04 Mar 2007
"Senate Speech on Iraq 
		Federalism Amendment,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamasenatespeechiraqfederalismamendment.htm,PDF,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamasenatespeechiraqfederalism.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Senate%20Speech%20Iraq%20Federalism%20Amendment.pdf,,,13 Mar 2007"
Senate Speech on Iraq War After 4 Years,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamasenatefloorspeechoniraqwar4years.htm,PDF,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamasenatespeechiraqwar4years.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Iraq%20War%20After%204%20Years.pdf,,,21 Mar 2007
"Senate Speech on 
		Comprehensive Immigration Reform,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamasenatefloorimmigration.htm,PDF,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamasenatespeechimmigrationreform.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Senate%20Floor%20Immigration%20Reform.pdf,,,23 May 2007"
Woodrow Wilson Center Speech,mp3,https://www.americanrhetoric.com/speeches/barackobamawilsoncenter.htm,,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamawilsoncenter.mp3,,,,,01 Aug 2007
Speech at the Jefferson-Jackson Dinner,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamajeffersonjacksondinner.htm,PDF,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamajeffersonjacksondinnerARXE.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Jefferson-Jackson%20Dinner.pdf,,,10 Nov 2007
Iowa Caucus Victory Speech,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamaiowavictoryspeech.htm,PDF,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaiowacaucusspeechvictoryARXE.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Iowa%20Caucus%20Victory%20Speech.pdf,,,03 Jan 2008
New Hampshire Primary Concession Speech,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamanewhampshireconcessionspeech.htm,,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamannewhampshireconcessionARXE.mp3,,,,,08 Jan 2008
Ebenezer Baptist Church Speech,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamaebenezerbaptist.htm,PDF,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamaebenezerbaptist.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Ebenezer%20Baptist.pdf,,,20 Jan 2008
South Carolina Primary Victory Speech,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamasouthcarolinavictory.htm,,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamasouthcarolinavictoryspeechARXE.mp3,,,,,26 Jan 2008
A More Perfect Union Speech,mp3,https://www.americanrhetoric.com/speeches/barackobamaperfectunion.htm,PDF,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamamoreperfectunion.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20More%20Perfect%20Union.pdf,,,18 Mar 2008
Democratic Nomination Victory Speech,mp3,https://www.americanrhetoric.com/speeches/barackobamademocraticnominationvictoryspeech.htm,PDF,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamademocraticnominationvictoryspeech.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Nomination%20Victory.pdf,,,03 Jun 2008
Policy Speech on Iraq at the Woodrow Wilson Center,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamairaqwarreaganbuilding.htm,,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamareaganbuildingforeignpolicyARXE.mp3,,,,,15 Jul 2008
Speech to the People of Berlin,mp3,https://www.americanrhetoric.com/speeches/barackobamaberlinspeech.htm,PDF,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaberlin2008ARXE.mp3,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Berlin%20Address.pdf,,,24 Jul 2008
DNC Presidential Nomination Acceptance Speech,mp3,https://www.americanrhetoric.com/speeches/convention2008/barackobama2008dnc.htm,PDF,https://www.americanrhetoric.com/mp3clips/politicalspeeches/convention2008/barackobama2008dnc.mp3,,https://www.americanrhetoric.com/speeches/FlashDocuments/Barack%20Obama%20-%20Democratic%20Nomination%20Acceptance.swf,,,28 Aug 2008
"Senate Speech on 
		Wall Street Bailout Bill,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamasenatespeechonbailout.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Senate%20Floor%20Speech%20on%20Wall%20Street%20Bailout%20Bill.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamasenatespeechonbailoutbill.htm,,,01 Oct 2008"
President-Elect Victory Speech,mp3,https://www.americanrhetoric.com/mp3clips/politicalspeeches/convention2008/barackobamavictoryspeech.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Presidential%20Victory%20Speech.pdf,,https://www.americanrhetoric.com/speeches/convention2008/barackobamavictoryspeech.htm,,,04 Nov 2008
First President-Elect Press Conference,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamafirstpressconference.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20First%20Press%20Conference.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamafirstpressconference.htm,,,07 Nov 2008
",mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamatransitionaddress1.mp3,""1st President-Elect "
"		Weekly Transition Address"",https://www.americanrhetoric.com/speeches/barackobama/barackobamaweeklytransition1.htm,,,,,08 Nov 2008"
",mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamatransitionaddress2.mp3,""2nd President-Elect "
"		Weekly Transition Address"",https://www.americanrhetoric.com/speeches/barackobama/barackobamaweeklytransition2.htm,,,,,15 Nov 2008"
Global Climate Summit Prerecorded Speech,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Global%20Climate%20Message.pdf,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamaclimatechangegovsummit.mp3,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaglobalclimatesummit.htm,,,18 Nov 2008
",mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamatransitionaddress3.mp3,""3rd President-Elect "
"		Weekly Transition Address"",https://www.americanrhetoric.com/speeches/barackobama/barackobamaweeklytransition3.htm,,,,,21 Nov 2008"
Economic Team Announcement Speech,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamaannounceseconomicteam.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20New%20Economic%20Team.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaeconomicteamannouncement.htm,,,24 Nov 2008
Management and Budget Office Announcement,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamamanagementandbudgetteam.mp3,PDF,https://www.americanrhetoric.com/speeches/barackobama/barackobamamanagementandbudgetoffice.htm,,https://www.americanrhetoric.com/speeches/barackobama/barackobamamanagementandbudgetoffice.htm,,,25 Nov 2008
Economic Recovery Advisory Board Announcement,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamaeconomicadvisoryboard.mp3,,,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaeconomicrecoveryadvisoryboard.htm,,,26 Nov 2008
",mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamathanksgivingdaymessage.mp3,""4th President-Elect "
"		Weekly Transition Address"",https://www.americanrhetoric.com/speeches/barackobama/barackobamaweeklytransition4thanksgiving.htm,,,,,27 Nov 2008"
Security Team Announcement Speech,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamaannouncessecurity%20team.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Security%20Team%20Announcement.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamasecurityteamannouncement.htm,,,01 Dec 2008
Commerce Secretary Announcement,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamacommercesecretaryannouncement.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Announces%20Commerce%20Secretary%20Designate.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamasecretarycommerce.htm,,,03 Dec 2008
",mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamatransitionaddress5.mp3,""5th President-Elect "
"		Weekly Transition Address"",https://www.americanrhetoric.com/speeches/barackobama/barackobamaweeklytransition5.htm,,,,,06 Dec 2008"
",mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamatransitionaddress6.mp3,""6th President-Elect "
"		Weekly Transition Address"",https://www.americanrhetoric.com/speeches/barackobama/barackobamaweeklytransition6.htm,,,,,13 Dec 2008"
",mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamatransitionaddress7.mp3,""7th President-Elect "
"		Weekly Transition Address"",https://www.americanrhetoric.com/speeches/barackobama/barackobamaweeklytransition7.htm,,,,,20 Dec 2008"
",mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamatransitionaddress8.mp3,""8th President-Elect "
"		Weekly Transition Address"",https://www.americanrhetoric.com/speeches/barackobama/barackobamaweeklytransition8.htm,,,,,24 Dec 2008"
",mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamatransitionaddress9.mp3,""9th President-Elect "
"		Weekly Transition Address"",https://www.americanrhetoric.com/speeches/barackobama/barackobamaweeklytransition9.htm,,,,,03 Jan 2009"
Remarks After Meeting with Economic Team,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamaeconomicpress01-05-09.mp3,,,,https://www.americanrhetoric.com/speeches/barackobama/barackobamapresseconomicrecoverypressconference.htm,,,05 Jan 2009
George Mason University Speech,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20George%20Mason%2021st%20Century%20Economy.pdf,,,mp3,https://www.americanrhetoric.com/speeches/barackobama/barackobamageorgemason.htm,,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamageorgemasoneconomyARXE.mp3,08 Jan 2009
Intelligence Community Leadership Team,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaintelligenceteamARXE.mp3,,,,https://www.americanrhetoric.com/speeches/barackobama/barackobamamintelligenceteam.htm,,,09 Jan 2009
",mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamatransitionaddress10.mp3,""10th President-Elect "
"		Weekly Transition Address"",https://www.americanrhetoric.com/speeches/barackobama/barackobamaweeklytransition10.htm,,,,,10 Jan 2009"
",mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamatransitionaddress11.mp3,""11th President-Elect "
"		Weekly Transition Address"",https://www.americanrhetoric.com/speeches/barackobama/barackobamaweeklytransition11.htm,,,,,17 Jan 2009"
